"","year","age","maritl","education","region","jobclass","health","health_ins","logwage","wage","race_cat","high_wage"
"1",2006,18,"1. Never Married","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.31806333496276,75.0431540173515,"White","0"
"2",2004,24,"1. Never Married","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.25527250510331,70.4760196469445,"White","0"
"3",2003,45,"2. Married","3. Some College","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.8750612633917,130.982177377461,"White","1"
"5",2005,50,"4. Divorced","2. HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.31806333496276,75.0431540173515,"White","0"
"6",2008,54,"2. Married","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.84509804001426,127.115743812184,"White","0"
"9",2006,41,"1. Never Married","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.77815125038364,118.884359339886,"Black","0"
"10",2004,52,"2. Married","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.85733249643127,128.680488220624,"White","0"
"11",2007,45,"4. Divorced","3. Some College","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.76342799356294,117.146816914805,"White","0"
"12",2007,34,"2. Married","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.39794000867204,81.2832532842527,"White","0"
"13",2005,35,"1. Never Married","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.49415459401844,89.4924795180001,"White","0"
"14",2003,39,"2. Married","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.90308998699194,134.705375118879,"White","1"
"15",2009,54,"2. Married","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.90308998699194,134.705375118879,"White","1"
"16",2009,51,"2. Married","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.50514997831991,90.4819133566401,"White","0"
"18",2006,50,"2. Married","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",5.36055176170483,212.842352315711,"White","1"
"19",2007,56,"2. Married","4. College Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.86102634169657,129.156693004704,"White","1"
"20",2003,37,"1. Never Married","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.5910646070265,98.5993438603892,"White","0"
"22",2005,40,"4. Divorced","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",3.92012332629072,50.406660861266,"White","0"
"23",2009,75,"2. Married","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.44715803134222,85.3839403789827,"White","0"
"24",2007,40,"2. Married","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",5.07918124604763,160.642475408263,"White","1"
"25",2006,38,"1. Never Married","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.54406804435028,94.0727147457005,"White","0"
"26",2005,49,"2. Married","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.62618633492728,277.601417511009,"White","1"
"27",2006,43,"2. Married","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.43136376415899,84.0459576539924,"White","0"
"29",2008,57,"2. Married","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.75587485567249,116.265324062503,"White","0"
"30",2003,18,"1. Never Married","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.25527250510331,70.4760196469445,"Black","0"
"31",2004,55,"2. Married","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.27646180417324,195.676307990453,"White","1"
