"","year","age","maritl","education","region","jobclass","health","health_ins","logwage","wage","race_cat","high_wage"
"1",2006,18,1,1,2,1,1,2,4.31806333496276,75.0431540173515,0,1
"2",2004,24,1,4,2,2,2,2,4.25527250510331,70.4760196469445,0,1
"3",2003,45,2,3,2,1,1,1,4.8750612633917,130.982177377461,0,2
"5",2005,50,4,2,2,2,1,1,4.31806333496276,75.0431540173515,0,1
"6",2008,54,2,4,2,2,2,1,4.84509804001426,127.115743812184,0,1
"9",2006,41,1,3,2,2,2,1,4.77815125038364,118.884359339886,1,1
"10",2004,52,2,2,2,2,2,1,4.85733249643127,128.680488220624,0,1
"11",2007,45,4,3,2,2,1,1,4.76342799356294,117.146816914805,0,1
"12",2007,34,2,2,2,1,2,2,4.39794000867204,81.2832532842527,0,1
"13",2005,35,1,2,2,2,2,1,4.49415459401844,89.4924795180001,0,1
"14",2003,39,2,4,2,1,2,1,4.90308998699194,134.705375118879,0,2
"15",2009,54,2,2,2,2,2,1,4.90308998699194,134.705375118879,0,2
"16",2009,51,2,3,2,1,2,1,4.50514997831991,90.4819133566401,0,1
"18",2006,50,2,5,2,2,2,2,5.36055176170483,212.842352315711,0,2
"19",2007,56,2,4,2,1,1,1,4.86102634169657,129.156693004704,0,2
"20",2003,37,1,3,2,1,2,1,4.5910646070265,98.5993438603892,0,1
"22",2005,40,4,2,2,2,2,2,3.92012332629072,50.406660861266,0,1
"23",2009,75,2,4,2,1,2,1,4.44715803134222,85.3839403789827,0,1
"24",2007,40,2,4,2,2,2,2,5.07918124604763,160.642475408263,0,2
"25",2006,38,1,2,2,1,1,2,4.54406804435028,94.0727147457005,0,1
"26",2005,49,2,5,2,2,2,1,5.62618633492728,277.601417511009,0,2
"27",2006,43,2,2,2,1,1,1,4.43136376415899,84.0459576539924,0,1
"29",2008,57,2,2,2,1,2,2,4.75587485567249,116.265324062503,0,1
"30",2003,18,1,2,2,1,2,1,4.25527250510331,70.4760196469445,1,1
"31",2004,55,2,5,2,2,2,1,5.27646180417324,195.676307990453,0,2
"32",2005,51,2,3,2,2,2,1,4.61909333062674,101.402052302992,0,1
"33",2008,33,1,5,2,1,2,2,4.39794000867204,81.2832532842527,0,1
"34",2005,34,1,2,2,1,2,2,4.7160033436348,111.720849360989,0,1
"35",2006,36,2,4,2,2,2,1,4.49847596780109,89.8800467811106,0,1
"36",2003,56,1,5,2,2,1,1,4.47712125471966,87.9810327856054,0,1
"37",2006,70,1,4,2,1,1,1,4.47712125471966,87.9810327856054,0,1
"38",2004,25,1,4,2,1,2,1,4.64345267648619,103.90247060316,0,1
"39",2006,32,2,3,2,1,2,2,4.66275783168157,105.927810775063,0,1
"40",2003,27,2,1,2,1,2,2,4.19312459835446,66.2294082943902,0,1
"42",2007,27,1,4,2,2,2,1,4.69897000433602,109.833985642199,0,1
"43",2004,43,1,1,2,1,1,2,3.81291335664286,45.282169994022,0,1
"45",2004,39,2,2,2,2,2,2,4.39794000867204,81.2832532842527,1,1
"46",2008,52,2,5,2,1,2,1,5.04139268515823,154.68529299563,0,2
"47",2009,35,2,4,2,1,2,1,5.59061783348625,267.901086855275,0,2
"48",2007,57,2,5,2,2,2,1,5.17609125905568,176.989650489877,0,2
"49",2006,25,1,1,2,1,2,2,4.19312459835446,66.2294082943902,0,1
"50",2006,33,1,2,2,2,1,1,4.75587485567249,116.265324062503,0,1
"51",2005,57,2,5,2,2,2,2,5.30102999566398,200.543262324662,0,2
"52",2008,71,2,3,2,1,2,1,4.6232492903979,101.82435207568,0,1
"53",2004,43,2,4,2,1,2,1,5.60688524128857,272.294783220064,0,2
"54",2003,23,1,3,2,1,2,2,3.55630250076729,35.0334213214995,0,1
"55",2009,30,1,5,2,2,2,1,4.74036268949424,114.475713290347,0,1
"56",2004,22,1,2,2,2,2,1,4.39794000867204,81.2832532842527,1,1
"57",2006,59,2,5,2,2,1,1,5.30102999566398,200.543262324662,0,2
"59",2004,61,2,2,2,1,2,1,4.60205999132796,99.6894636984864,0,1
"60",2003,34,2,2,2,2,2,1,4.7160033436348,111.720849360989,0,1
"61",2005,43,2,4,2,1,2,1,5.02938377768521,152.838800991182,0,2
"62",2006,54,2,3,2,1,2,2,4.76342799356294,117.146816914805,0,1
"63",2005,69,2,2,2,1,1,1,4.3533390953113,77.7376033039781,0,1
"64",2004,41,2,3,2,1,1,1,4.47712125471966,87.9810327856054,0,1
"65",2003,48,2,5,2,2,2,1,4.83250891270624,125.525498433836,0,1
"66",2003,49,2,3,2,2,2,1,4.81491318127507,123.336103962059,0,1
"67",2009,42,2,2,2,1,2,1,5.06445798922692,158.294621427791,0,2
"68",2003,37,2,4,2,2,2,1,5.30102999566398,200.543262324662,0,2
"70",2008,21,1,2,2,1,2,2,4.25527250510331,70.4760196469445,1,1
